current_node\previous_node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,M,S,.,O,.,.,O,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,M,I,S,O,.,.,O,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,M,O,O,S,.,.,O,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,M,M,M,M,S,.,O,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,M,M,M,M,M,S,O,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,M,O,O,O,O,O,S,O,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,M,O,O,O,O,O,O,S,O,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,M,O,O,O,O,O,O,O,S,O,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,M,O,O,O,O,O,O,O,O,S,O,O,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,M,O,O,O,O,O,O,O,O,O,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,M,O,O,O,O,O,O,O,O,O,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,M,M,M,M,M,M,M,M,M,M,M,M,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.,.
24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.,.
25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,.,.,.,.,.,.,.,.,.,.,.
26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,S,.,O,O,O,O,O,O,O,O,.
27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,I,S,O,O,O,O,O,O,O,O,.
28,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,S,O,O,O,O,O,O,O,.
29,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,S,O,O,O,O,O,O,.
30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,S,O,O,O,O,O,.
31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,O,S,O,O,O,O,.
32,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,O,O,S,.,.,.,.
33,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,O,O,M,S,O,O,.
34,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,O,O,M,O,S,.,.
35,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,O,O,O,O,O,M,O,I,S,.
36,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,S
